sequence,step,increments,prev_j_positions,prev_base_pos_x,prev_base_pos_y,prev_base_pos_z,prev_base_ori_alpha,prev_base_ori_beta,prev_base_ori_gamma,post_j_positions,post_base_pos_x,post_base_pos_y,post_base_pos_z,post_base_ori_alpha,post_base_ori_beta,post_base_ori_gamma
0,0,"[-0.13616449895792537, 0.28820261258482327, -0.883010453745625, -0.7673893089820796, -1.2513595613134787, -0.2437358919925702, -0.9216961929333305, -0.04755110674305526]","[-0.12531042098999023, 1.5525047779083252, 0.12337970733642578, 1.55824875831604, 0.004696369171142578, 1.4738237857818604, -0.12472724914550781, 1.5569126605987549]",0.11870799958705902,0.0,0.0,0.002329055918380618,-0.01020781695842743,-0.004961750470101833,"[-0.27670907974243164, 1.570563554763794, -0.687075138092041, 0.7797980308532715, -1.2508118152618408, 1.2300455570220947, -0.83091139793396, 1.5213453769683838]",0.006940125022083521,-0.017923738807439804,0.11751013249158859,0.009383754804730415,-0.0203927643597126,0.26163366436958313
0,1,"[0.9760369899009094, 1.3144107830913399, 0.37225466871998836, -1.545061646382875, -0.18756686216432372, 0.27249301915129637, -1.3872453420723072, 0.441677762576691]","[-0.27670907974243164, 1.570563554763794, -0.687075138092041, 0.7797980308532715, -1.2508118152618408, 1.2300455570220947, -0.83091139793396, 1.5213453769683838]",0.006940125022083521,-0.017923738807439804,0.11751013249158859,0.009383754804730415,-0.0203927643597126,0.26163366436958313,"[0.7050213813781738, 1.57063889503479, -0.2738635540008545, -0.8086948394775391, -1.445854902267456, 1.5027258396148682, -0.7606451511383057, 1.5536463260650635]",-0.0671355202794075,-0.03755427524447441,0.09854120016098022,0.13132792711257935,-0.42525869607925415,0.07782837748527527
0,2,"[-1.267761065470705, -0.6063721423969715, -0.217482583835269, -0.6623200615139205, -0.7248166899843043, 0.7172915101291157, -1.4290402549708685, -1.3182720613910228]","[0.7050213813781738, 1.57063889503479, -0.2738635540008545, -0.8086948394775391, -1.445854902267456, 1.5027258396148682, -0.7606451511383057, 1.5536463260650635]",-0.0671355202794075,-0.03755427524447441,0.09854120016098022,0.13132792711257935,-0.42525869607925415,0.07782837748527527,"[-0.5707967281341553, 0.9644100666046143, -0.4890632629394531, -1.492370367050171, -1.5417745113372803, 1.5702049732208252, -0.7606287002563477, 0.24831199645996094]",-0.060979705303907394,-0.024060668423771858,0.08537502586841583,-0.04897991567850113,-0.4782857894897461,0.23723013699054718
0,3,"[-0.8437224023989175, -0.6865299676069309, 1.3444950632767478, 0.6202705632228717, 0.8870287608545994, -1.375464570425825, -1.1186124982340888, -0.660259331107226]","[-0.5707967281341553, 0.9644100666046143, -0.4890632629394531, -1.492370367050171, -1.5417745113372803, 1.5702049732208252, -0.7606287002563477, 0.24831199645996094]",-0.060979705303907394,-0.024060668423771858,0.08537502586841583,-0.04897991567850113,-0.4782857894897461,0.23723013699054718,"[-0.5878067016601562, -0.5282135009765625, -0.47414422035217285, -0.8640906810760498, -0.6712658405303955, 0.13559818267822266, -0.7467026710510254, -0.40987205505371094]",0.08646059036254883,-0.018731266260147095,0.042970623821020126,-0.0012508955551311374,-0.011935974471271038,0.1018482893705368
0,4,"[0.6926262097118735, 0.11885585883726098, -1.0757889463145578, 0.9787457229644858, -1.2406117378999402, -0.49155262584697257, -1.3081916227545034, -1.1841224721236634]","[-0.5878067016601562, -0.5282135009765625, -0.47414422035217285, -0.8640906810760498, -0.6712658405303955, 0.13559818267822266, -0.7467026710510254, -0.40987205505371094]",0.08646059036254883,-0.018731266260147095,0.042970623821020126,-0.0012508955551311374,-0.011935974471271038,0.1018482893705368,"[-0.2874119281768799, -0.5325305461883545, -1.1648838520050049, 0.12410640716552734, -1.5601780414581299, -0.33884692192077637, -0.7956221103668213, -1.5549499988555908]",0.01913391426205635,-0.011399425566196442,0.0406857393682003,-0.0102316215634346,-0.0023254610132426023,0.4533897936344147
0,5,"[-0.39201462138420423, 1.2460845651420343, 1.0811032753922005, -1.5358605023438021, 1.4016161421377522, -0.0032211802794646417, -1.4414528122817754, 0.45920396838002614]","[-0.2874119281768799, -0.5325305461883545, -1.1648838520050049, 0.12410640716552734, -1.5601780414581299, -0.33884692192077637, -0.7956221103668213, -1.5549499988555908]",0.01913391426205635,-0.011399425566196442,0.0406857393682003,-0.0102316215634346,-0.0023254610132426023,0.4533897936344147,"[-0.27391719818115234, 0.8315849304199219, -0.01831340789794922, -1.4227006435394287, -0.8739101886749268, -0.33583927154541016, -0.8801038265228271, -1.1344645023345947]",0.005155334249138832,-0.005086023826152086,0.06847955286502838,-0.14028668403625488,-0.010183966718614101,0.23720727860927582
0,6,"[0.9252007014668419, 1.4678408852719502, -1.4129663983255045, -0.49266820612071377, -1.4803035982187323, -0.5563798614475398, -0.08001562781036863, 0.7701539545429463]","[-0.27391719818115234, 0.8315849304199219, -0.01831340789794922, -1.4227006435394287, -0.8739101886749268, -0.33583927154541016, -0.8801038265228271, -1.1344645023345947]",0.005155334249138832,-0.005086023826152086,0.06847955286502838,-0.14028668403625488,-0.010183966718614101,0.23720727860927582,"[0.5353789329528809, 1.5778162479400635, -1.420811414718628, -1.5708677768707275, -0.9646322727203369, -0.91951584815979, -0.9057357311248779, -0.804764986038208]",0.0038899302016943693,-0.011451450176537037,0.07179301232099533,-0.17583061754703522,-0.21195800602436066,-0.0706171840429306
0,7,"[1.4126099207411902, 1.5058264947485276, 1.5358941568657611, 1.074678751681306, 0.6412899425250125, 0.43236788796448916, 0.8973264866786048, 0.17022749198733203]","[0.5353789329528809, 1.5778162479400635, -1.420811414718628, -1.5708677768707275, -0.9646322727203369, -0.91951584815979, -0.9057357311248779, -0.804764986038208]",0.0038899302016943693,-0.011451450176537037,0.07179301232099533,-0.17583061754703522,-0.21195800602436066,-0.0706171840429306,"[1.541459321975708, 1.5742542743682861, 0.13148260116577148, -0.4841299057006836, -0.11411023139953613, -0.5051519870758057, -0.2801973819732666, -0.606921911239624]",-0.023013213649392128,-0.04175877571105957,0.06404834240674973,-0.1356779783964157,-0.41311249136924744,-0.31116846203804016
0,8,"[1.2125912317192868, -1.2152296715091602, 1.5311861354297402, 1.0005630119124556, -0.18099200829296558, -1.3915740759645496, 0.6699292864508871, 0.4192533144673296]","[1.541459321975708, 1.5742542743682861, 0.13148260116577148, -0.4841299057006836, -0.11411023139953613, -0.5051519870758057, -0.2801973819732666, -0.606921911239624]",-0.023013213649392128,-0.04175877571105957,0.06404834240674973,-0.1356779783964157,-0.41311249136924744,-0.31116846203804016,"[1.5631134510040283, 0.37233972549438477, 0.8991177082061768, 0.09938192367553711, -0.2679116725921631, -1.5712125301361084, -0.46001386642456055, -0.19992780685424805]",-0.04647085443139076,-0.003279091091826558,0.042770154774188995,-0.05973968282341957,-0.10311722010374069,-0.5039538741111755
0,9,"[-1.3849241530498033, -0.16182435626147906, 0.6633310877975392, -1.1094605572143452, 0.309864544851195, -0.463179195361776, 1.139581205962989, -0.414410993083977]","[1.5631134510040283, 0.37233972549438477, 0.8991177082061768, 0.09938192367553711, -0.2679116725921631, -1.5712125301361084, -0.46001386642456055, -0.19992780685424805]",-0.04647085443139076,-0.003279091091826558,0.042770154774188995,-0.05973968282341957,-0.10311722010374069,-0.5039538741111755,"[-0.12380599975585938, -0.4025535583496094, 0.13489866256713867, -0.018425941467285156, -0.04139208793640137, -1.5717623233795166, -0.3073093891143799, -0.6002850532531738]",0.03701908141374588,0.001107946503907442,0.04115178808569908,0.016946975141763687,-0.012485149316489697,-0.027291351929306984
