sequence,step,increments,prev_j_positions,prev_pos_x,prev_pos_y,prev_pos_z,post_j_positions,post_pos_x,post_pos_y,post_pos_z,delta_pos_x,delta_pos_y,delta_pos_z
0,0,"[-0.01366053177392338, -0.031235453816489213]","[0.10777783393859863, -0.8031189441680908]",0.011663402430713177,-0.00035406637471169233,0.20288380980491638,"[0.08659243583679199, -0.8348946571350098]",0.014524942263960838,-0.00033533156965859234,0.2019929587841034,0.0028615398332476616,1.873480505309999e-05,-0.0008908510208129883
0,1,"[-0.05247428985762561, 0.0631281738822166]","[0.08659243583679199, -0.8348946571350098]",0.014524942263960838,-0.00033533156965859234,0.2019929587841034,"[0.027213335037231445, -0.7719461917877197]",0.01900995709002018,-0.0003377842076588422,0.20232926309108734,0.004485014826059341,-2.4526380002498627e-06,0.00033630430698394775
0,2,"[0.07392499992375395, -0.07502284205654061]","[0.027213335037231445, -0.7719461917877197]",0.01900995709002018,-0.0003377842076588422,0.20232926309108734,"[0.09537720680236816, -0.8474850654602051]",0.013832942582666874,-0.0003447706112638116,0.2018136978149414,-0.005177014507353306,-6.986403604969382e-06,-0.0005155652761459351
0,3,"[-0.051695344335749904, 0.005353528491412295]","[0.09537720680236816, -0.8474850654602051]",0.013832942582666874,-0.0003447706112638116,0.2018136978149414,"[0.03826308250427246, -0.8425707817077637]",0.0193976778537035,-0.00034749199403449893,0.20101717114448547,0.005564735271036625,-2.7213827706873417e-06,-0.0007965266704559326
0,4,"[-0.037244784818041096, -0.08438340655369293]","[0.03826308250427246, -0.8425707817077637]",0.0193976778537035,-0.00034749199403449893,0.20101717114448547,"[-0.003926992416381836, -0.927741289138794]",0.025154216215014458,-0.0003500578459352255,0.19818922877311707,0.005756538361310959,-2.5658519007265568e-06,-0.002827942371368408
0,5,"[0.054057142244374516, -0.09193452880981609]","[-0.003926992416381836, -0.927741289138794]",0.025154216215014458,-0.0003500578459352255,0.19818922877311707,"[0.04598808288574219, -1.0208117961883545]",0.02199527621269226,-0.000337907113134861,0.19705750048160553,-0.003158940002322197,1.2150732800364494e-05,-0.0011317282915115356
0,6,"[-0.12514779842060542, 0.11509268974430964]","[0.04598808288574219, -1.0208117961883545]",0.02199527621269226,-0.000337907113134861,0.19705750048160553,"[-0.0833902359008789, -0.9061806201934814]",0.03236330300569534,-0.00036424098652787507,0.1964901238679886,0.010368026793003082,-2.6333873393014073e-05,-0.0005673766136169434
0,7,"[0.1236075344341237, -0.013608003250511964]","[-0.0833902359008789, -0.9061806201934814]",0.03236330300569534,-0.00036424098652787507,0.1964901238679886,"[0.03701949119567871, -0.9202620983123779]",0.02103397808969021,-0.0003360836417414248,0.19928382337093353,-0.011329324916005135,2.8157344786450267e-05,0.0027936995029449463
0,8,"[-0.11461168284684814, -0.056399613083940515]","[0.03701949119567871, -0.9202620983123779]",0.02103397808969021,-0.0003360836417414248,0.19928382337093353,"[-0.08095502853393555, -0.9773528575897217]",0.03329336643218994,-0.00032994590583257377,0.19473999738693237,0.012259388342499733,6.1377359088510275e-06,-0.00454382598400116
0,9,"[-0.098678003177381, -0.012910548533022538]","[-0.08095502853393555, -0.9773528575897217]",0.03329336643218994,-0.00032994590583257377,0.19473999738693237,"[-0.1830737590789795, -0.9909417629241943]",0.042799606919288635,-0.0003500160819385201,0.1905643492937088,0.009506240487098694,-2.0070176105946302e-05,-0.004175648093223572
0,10,"[0.10311300500788065, -0.06344004645724025]","[-0.1830737590789795, -0.9909417629241943]",0.042799606919288635,-0.0003500160819385201,0.1905643492937088,"[-0.08253622055053711, -1.0552828311920166]",0.034541502594947815,-0.00033369616721756756,0.19260869920253754,-0.00825810432434082,1.631991472095251e-05,0.0020443499088287354
0,11,"[0.0391528172065061, -0.10041397739504032]","[-0.08253622055053711, -1.0552828311920166]",0.034541502594947815,-0.00033369616721756756,0.19260869920253754,"[-0.045480966567993164, -1.156968355178833]",0.032422035932540894,-0.0003450349031481892,0.1910131871700287,-0.0021194666624069214,-1.1338735930621624e-05,-0.00159551203250885
